question,answer
which movie did Russell Crowe win for Best Actor of Oscar in 2001?,Gladiator
who did president Bush run against in 2004?,John Kerry
who was governor of Texas in 2003?,Rick Perry
Which album did Fleetwood Mac release in april 2003?,Say You Will
which movie did Rob Minkoff direct in 2002?,Stuart Little 2
who was the prime minister of Pakistan in 1999?,Nawaz Sharif
who was the prime minister of Canada in 1998?,Jean Chrétien
who was the governor of Missouri in 1996?,Mel Carnahan
who played neurologist Oliver Sacks in the 1990 film Awakenings? ,Robin William
which movie did Atom Egoyan direct in 1991?,The Adjuster
who played will Scarlett in the 1991 Robin Hood?,Christian Slater
who won the National Championship in college football in 1992?,Alabama
what was the strongest storm in the 1992 Atlantic hurricane season?,Hurricane Andrew
who was the vice president of Bill Clinton during 1995?,Al Gore
who was the leader of the nation of Islam in 1996?,Louis Farrakhan
who was the head coach of the Dallas Cowboys in 1996?,Barry Switzer
Which president of Indonesia was arrested in 2000?,Suharto
How many people were killed in Concorde crash in 2000?,113
Which president was assassinated by bodyguard in 2001?,Laurent Kabila
What collided with Japanese fishing boat in 2001?,submarine Greeneville
How many Oscars did Gladiator take in 2001?,Five
Who won Best Director of Oscar in 2001?,Steven Soderbergh
Who won the Nobel Prize for Literature in 2000 ?,Gao Xingjian
Who won the Nobel Prize for Literature in 2001 ?,V. S. Naipaul
Which space shuttle exploded in 2003?,  Columbia
Which President was forced to resign by armed rebels in 2004?,President Aristide
Who caused the train bombings in Spain in 2004?,Al Qaeda
Which hurricane was the most terrible hurricane that hit Florida in 2004,Hurricane Jeanne
Who was nominated for a U.S. Federal Reserve Chairman in 2000?,Alan Greenspan
Which flight crashed in the Pacific Ocean in 2000?,Alaska Airlines Flight 261
Where did Alaska Airlines Flight 261 crash in 2000?,Pacific Ocean
which city held the Expo in 2000?,Hanover
How many people were killed by Michael McDermott in 2000?,seven
Who signed the Rome Statute of the International Criminal Court in 2000?,Bill Clinton
How many people aboard were killed in American Airlines Flight accident in 2001?,260
Where did TWA Flight 800 crash into 1996?,Atlantic Ocean
Which telescope launched during a Space Shuttle Discovery mission in 1990?,Hubble Space Telescope
Who accused President Clinton of sexual harassment in 1994?,Paula Corbin Jones
How many students killed by Eric Harris and Dylan Klebold in 1999?,12
"In the Presidential election of 1996, who was Vice-Presidential running mate of Republican Bob Dole?",Jack Kemp
How many people on the ground were killed by the crash of Pan Am flight 103 in 1988?,11
Which 2005 hurricane nearly destroyed New Orleans?,Hurricane Katrina
Which city held Olympics in 2000?,Sydney
"In 1999, Who replaced Boris Yeltsin as President of Russia?",Vladimir Putin
Which international scientific research project determined the sequence of nucleotide base pairs in human DNA in 2003?,Human Genome Project
"In 2006, Pluto was downgraded from a planet to what by the International Astronomical Union?",Dwarf Planet
World Trade Center bombed by which organization in 1993?,Islamic Fundamentalists
Prince Charles get divorced with whom in 1996?,Princess Diana
What country won the World Cup after defeating France in 2006?,Italy
Who was elected president of Mexico in 2000?,Vicente Fox
What was the name of Pope Benedict XVI before 2005?,Cardinal Joseph Ratzinger
"In 2001, America invaded what country after terrorist attacks of September 11th ?",Afghanistan
Which president was impeached in 1998 December?,President Clinton
Which rapper was killed in 1997 March?,B.I.G.
How much did President Bush announce a request from Congress for military operations in 2003?,$87 million
How much did the Bush administration propose spending on programs of education in 2006?,$114 million
"In 2006, United States held the first anniversary of which disaster?",Hurricane Katrina
What University gave an iPod to students in 2004?,Duke
Who was the winner American Idol in 2006?,Taylor Hicks
Who hosted the 1998 Winter Olympics?,Nagano
Who wrote the 2007 book The Black Swan?,Nassim Nicholas Taleb
In what month of 2005 did Schwarzenegger hold a special election?,November
"In the 2006 gubernatorial election, who did Schwarzenegger run against?",Phil Angelides
Who detonated the bomb in 1995 oklahoma city bombing?,Timothy McVeigh
Who was the President of the Soviet Union in 1991?,Mikhail Gorbachev
Who was the head of MCA in 1990?,Lew Wasserman
What company did Seagram buy in 1999?,PolyGram
Who bought Seagram in June 2000?,Vivendi
What browser did Andreessen release in 1994?,Netscape Navigator
Until 1999 what was the Williams Tower known as?,Transco Tower
What did the new $1 coin minted in 2000 feature?,Sacagawea
What was the title of Nirvana's 1991 album?,Nevermind
What was the title of Aerosmith's 1987 comeback album?,Permanent Vacation
Which country did Iraq invade in 1990?,Kuwait
What did Elizabeth celebrate in 2002?,Golden Jubilee
What company did Compaq merge with in 2002?,Hewlett Packard
How much had Dell spent by 2006 on improving customer service?,$100 million
Where did Dell move its headquarters back to in 2003?,Round Rock
"Before 2001, where was Boeing headquartered?",Seattle
What study did Merk sponsor in 1994?,Scandinavian Simvastatin Survival Study
What film won the Palme d'Or at Cannes in 1998?,Eternity and a Day
Who was managing editor of The Sun in 2005?,Graham Dudman
Who was Cabinet Minister in 1998?,Peter Mandelson
Who was editor of The Sun in 1998?,David Yelland
Who won the election of Nigeria in 1999?,Olusegun Obasanjo
Where did bin Laden escape to in Dec 2001?,Pakistan
"Which candidate, in the 2004 election, had the majority of the popular vote?",Bush
"Who became the nominee of Democratic Party, half way through 2003?",Howard Dean
Who did Bush lose the popular vote to in the 2000 election for presidency?,Al Gore
Who was the president of South Africa in 2002?,Thabo Mbeki
How many Turkish Cypriots voted for the Annan Plan in 2004?,65%
"Where was Spielberg honored on Dec 3, 2006?",Kennedy Center
What flew by Neptune in 1989? ,Voyager 2
What discovered six moons of Neptune in 1989?,Voyager 2
What hurricane hit Charleston in 1989?,Hurricane Hugo
How much did Sequoia Capital invest in youtube in November of 2005?,$3.5 million
Who designed the Bronx Museum of the Arts' 2006 expansion?,Arquitectonica
Which Super Bowl was hosted in San Diego in 2003? ,Super Bowl XXXVII
What magnitude was the 1994 Northridge earthquake?,6.7
Who was named president of Disney-ABC television group in 2004?,Anne Sweeney
How many countries signed up to the Plaza Accord in November 1985?,Five
Which bay in Florida had a major oil spill in August 1993?,Tampa Bay
Which Pakistan Prime Minister gave birth in office in 1990 ?,Benazir Bhutto
Who became the first British astronaut to visit the Mir space station in 1991?,Helen Sharman
Felipe Calderón became President of which country on 1 December 2006?,Mexico
"On 20 May 2002, which country gained independence from Indonesia? ",East Timor
"Between 1979 and 1990, the Sandinistas and the Contras were participants in a Civil War in which country?",Nicaragua
Radovan Karadzic is associated with genocide between 1992 and 1995 in which country?,Bosnia
Which country suffered the largest number of deaths from a tsunami on 26 December 2004?,Indonesia
After a  trial in 1989 which leader and his wife were then executed by firing squad?,Nicolae Ceausescu
"On 25 June 1991, Slovenia and Croatia became the first republics to declare independence from which country?",Yugoslavia
"In 1988, 290 people were killed when an Iranian airliner was shot down by a ship from which country?",United States
What was the name of the British Royal Yacht that decommissioned on 11 December 1997?,Britannia
Which was the first Soviet Union republic to establish its independence in 1990?,Lithuania
Which country's dissolution in 1993 was known as the Velvet Divorce?,Czechoslovakia
Where did United Airlines flight 93 hijacked by terrorists on 11 September 2001 crash?,Pennsylvania
What traditional sport was banned in Britain in 2004?,Fox hunting
"Until 1992, TASS was the official news agency of which country?",Soviet Union
Why did Prince Charles and Camilla Parker-Bowles delay the wedding in 2005?,to avoid a clash on Friday with Pope John Paul II's funeral at the Vatican
How many countries participated in 1996 Summer Olympics?,197
USA agreed to ease restrictions on which country in 1999 January?,Cuba
The dissolution of the Soviet Union occurred after whose resignation in 1991?,Mikhail Gorbachev
Which country hosted Summer Olympics in 2004?,Greece
Who abandoned Kyoto Protocol in 2001 March?,President Bush
Which country did not agreed with Kyoto Protocol in 2001 June?,United States
Year 2005 saw the death of which Pope?,Pope John Paul II
what famous actor became governor of California in 2003?,Arnold Schwarzenegger
which film won Best Picture at Academy Awards in 2002?,A Beautiful Mind
Who won the Booker Prize in 2002?,Yann Martel
"January 1st, 2002, saw which currency being used in several European countries including France, Germany and Ireland?",Euro
Which country officially changed its name to Montenegro and Serbia in 2003?,Yugoslavia
"In 2000, who won the Oscar for Best Supporting Actress?",Angelina Jolie
Which film won 11 Academy Awards in 2004?,The Lord of the Rings: The Return of the King
Which show that debuted on 1999 and hosted by Regis Philbin?,Who Wants To Be A Millionaire?
"In 1994 February, which painting was stolen from the National Gallery in Oslo? ",The Scream
"In 1996, World chess champion Garry Kasparov lost one game against whom?",Deep Blue
The former actor Charlton Heston became the president of what organization in 1998?,National Rifle Association
"Until late 2001, the fundamentalist Taliban controlled the vast majority of which country?",Afghanistan
Which president was assassinated in January of 2001 ?,Laurent D. Kabila
In which African country were Hutu forces continuing to battle the Tutsi-led government in 2003?,Rwanda
Which president finally gave up power in Liberia and left the country because of international pressure in 2003?,Charles Taylor
"On 30 October 1995, which country held a referendum to decide if one of its provinces should become an independent country?",Canada
Which country moved its capital from Almaty to Astana on 10 December 1997?,Kazakhstan
Which star was paralyzed after falling off a horse in 1995?,Christopher Reeve
"On May 7 1999, American warplanes bombed embassy of which country in Belgrade, Yugoslavia?",China
Queen Elizabeth II opened which building in London in 1999?,Millennium Dome
Which actress won the Best Actress of Academy Award in 1999?,Hilary Swank
Which hostage was released from captivity in Beirut in August 1990?,Brian Keenan
Which Major League Baseball team won the 1992 World Series?,Toronto Blue Jays
"On August 7, 1992, which British palace in London firstly opened to the public ?",Buckingham Palace
Which band performed 'Smells Like Teen Spirit' in the wonderful year of 1991?,Nirvana
Which team won the World Series after beating Atlanta Braves in 1991?,Minnesota Twins
The Congress of America voted to overhaul which governmental agency on July 9 1998?,Internal Revenue Service
Who was convicted for killing Bill Cosby's son on July 7 1998 ?,Mikail Markhasev
Who became the first woman inducted into the Rock and Roll Hall of Fame on 24th January 1987?,Aretha Franklin
What former First Lady died of cancer on May 19th 1994?,Jacqueline Kennedy Onassis
Scottish scientists cloned a sheep and gave her what name in 1990s?,Dolly
Which country became the first country to legalise same sex marriage in 2001?,The Netherlands
How many US servicemen are killed in Saudi Arabia in 1996?,19
"In which tunnel was there a horrific fire in 1999, resulting in the death of 39 people?",Mont Blanc Tunnel
Which former professional football star was tried for double-murder in 1995?,O.J. Simpson
Which unarmed man was mistaken as a suspect and was shot by police in New York in 1999 ?,Amadou Diallo
Who was the Most Valuable Player of the World Series in 2000?,Derek Jeter
How many people of Heaven's Gate died in the suicide in 1997?,39
Which horse won the 1999 Kentucky Derby and Preakness ?,Charismatic
Which country won Olympic gold in men's ice hockey in 1998?,Czech Republic
Mike Tyson was knocked out in the 10th round by which virtually unknown fighter in 1990?,Buster Douglas
Who was the coach of the Dream Team of America in 1992 Olympics?,Chuck Daly
What was the first state to ban drivers from using hand held cell phones in 2001?,New York
How many gold medals did Michael Phelps win in swimming in 2004 Olympics?,Six
The son of which famous comedian was murdered on 16th January 1997?,Bill Cosby
Who was the Green Party candidate for the US Presidency in 2000?,Ralph Nader
For what movie did Geoffrey Rush win his Academy Award for Best Actor in 1997?,Shine
Which governor of Missouri died in an airplane crash in October 2000?,Mel Carnahan
Which international organization was blamed for the genocide in Rwanda in 1994?,United Nations
Which boxers was found guilty in 1992 of kidnapping his wife and five children?,Riddick Bowe
"In 1992, where did the Disney company launch Disneyland ?",Paris
What website was launched in 2005 for user-made videos?,Youtube
"Which Oscar winning actor, who played in 'To Kill a Mockingbird', died in 2003?",Gregory Peck
In October 2003 which film star became the governor-elect of California?,Arnold Schwarzenegger
In which country did the Luxor massacre in 1997 occur? ,Egypt
In which state did the Acteal massacre of 1997 occur ?,Chiapas
"Which Supreme Court justice announced the retirement on July 1st, 2005?",Sandra Day O'Connor
Who was appointed as the Secretary of Defense in 1997?,William S. Cohen
Which space shuttle disintegrated on February 1st 2003 ?,Columbia
"On 12th August 2000, what was the name of  the submarine that sank in the Barents Sea while out on exercises ?",Kursk
"On 12th August 2000, where did the submarine that sink while out on exercises ?",Barents Sea
"In 2004, Indian Ocean earthquake caused what catastrophic event?",tsunamis
Which operation was launched by United States to against Iraq in January 1991?,Operation Desert Storm
Which country recognized independence of Kuwaiti in November 1994?,Iraq
What company was created after America Online purchase Time Warner in 2000 ?,AOL Time Warner
"In 1998, Exxon and Mobil merged and form what new company?",Exxon Mobil
"In 2003, Which company celebrated its anniversary of 100 year ?",Ford
Which famous notebook computers did IBM introduce in 1992 ?,IBM introduces a new line of notebook computers.
Which famous computers did IBM introduce in 1992 ?,Thinkpad
NATO decides to send a peace-keeping force to which country in 2001 August ?,Macedonia
NATO signed a peace treaty with which country in 1999 ?,Yugoslavia
Who announced that Iraq would withdraw from Kuwait totally in February 1991?,President Saddam Hussein
"Which platform was released by Apple on March 24, 2001 ?",OS X
Which company of USA opened its first stores in China in 1994?,Walmart